Species,Trait Type,p,h2,Q,m,means,mean increase,sd,Dunnett_Pvalue_adj
Maize,Two,2,0.1,0.9,3,-0.082362085,0.001806131,0.018124089,0.973128526
Maize,Two,2,0.1,0.9,5,-0.082136306,0.002031911,0.014195475,0.953626064
Maize,Two,2,0.1,0.9,10,-0.081415652,0.002752565,0.012949044,0.841160428
Maize,Two,2,0.1,0.9,25,-0.083429114,0.000739103,0.014358855,0.999782924
Maize,Two,3,0.1,0.9,0,0.046127359,0,0,0
Maize,Two,3,0.1,0.9,1,0.004519584,-0.041607775,0.033186968,4.46E-11
Maize,Two,3,0.1,0.9,2,0.002400091,-0.043727267,0.035721219,4.06E-12
Maize,Two,3,0.1,0.9,3,0.002676064,-0.043451295,0.03341522,7.44E-12
Maize,Two,3,0.1,0.9,5,0.003590652,-0.042536706,0.033716976,1.14E-11
Maize,Two,3,0.1,0.9,10,0.012168658,-0.033958701,0.030729051,1.37E-07
Maize,Two,3,0.1,0.9,25,0.024417515,-0.021709843,0.025195231,0.001691824
Maize,Two,5,0.1,0.9,0,0.200976638,0,0,0
Maize,Two,5,0.1,0.9,1,0.190194498,-0.01078214,0.016289491,5.41E-10
Maize,Two,5,0.1,0.9,2,0.198598321,-0.002378317,0.009287885,0.542806597
Maize,Two,5,0.1,0.9,3,0.200656029,-0.000320609,0.005721088,0.999991568
Maize,Two,5,0.1,0.9,5,0.200279265,-0.000697373,0.005807271,0.998540047
Maize,Two,5,0.1,0.9,10,0.200243925,-0.000732713,0.005338451,0.998010552
Maize,Two,5,0.1,0.9,25,0.199699353,-0.001277285,0.006283398,0.953676817
Maize,Two,5,0.1,0.9,50,0.197966244,-0.003010394,0.007277307,0.294012087
Maize,Two,10,0.1,0.9,0,-0.101788237,0,0,0
Maize,Two,10,0.1,0.9,1,-0.100429422,0.001358814,0.019938596,0.999419458
Maize,Two,10,0.1,0.9,2,-0.09767655,0.004111687,0.016617574,0.711094412
Maize,Two,10,0.1,0.9,3,-0.09707836,0.004709876,0.017414012,0.571872718
Maize,Two,10,0.1,0.9,5,-0.098826222,0.002962015,0.01517377,0.924353307
Maize,Two,10,0.1,0.9,10,-0.094453421,0.007334816,0.01741287,0.132004429
Maize,Two,10,0.1,0.9,25,-0.092088878,0.009699359,0.017961265,0.01904963
Maize,Two,10,0.1,0.9,50,-0.096458296,0.00532994,0.01335063,0.433661374
Maize,Two,10,0.1,0.9,100,-0.099228338,0.002559899,0.018407564,0.964646851
Maize,Two,25,0.1,0.9,0,0.179034981,0,0,0
Maize,Two,25,0.1,0.9,1,0.108943913,-0.070091069,0.050830545,0
Maize,Two,25,0.1,0.9,2,0.110055031,-0.06897995,0.04619095,0
Maize,Two,25,0.1,0.9,3,0.118283606,-0.060751375,0.042240993,0
Maize,Two,25,0.1,0.9,5,0.127562685,-0.051472297,0.03514025,8.88E-16
Maize,Two,25,0.1,0.9,10,0.140053957,-0.038981024,0.029901697,2.87E-09
Maize,Two,25,0.1,0.9,25,0.16732977,-0.011705211,0.018546781,0.286317277
Maize,Two,25,0.1,0.9,50,0.176359181,-0.0026758,0.009538631,0.999633797
Maize,Two,25,0.1,0.9,100,0.178573164,-0.000461817,0.007146961,1
Maize,Two,25,0.1,0.9,250,0.178273397,-0.000761584,0.008441915,0.999999993
Maize,Two,100,0.1,0.9,0,0.074914507,0,0,0
Maize,Two,100,0.1,0.9,1,0.074358074,-0.000556433,0.009735542,0.999999985
Maize,Two,100,0.1,0.9,2,0.078234585,0.003320077,0.00885321,0.972285676
Maize,Two,100,0.1,0.9,3,0.076197392,0.001282885,0.007514337,0.999978508
Maize,Two,100,0.1,0.9,5,0.073655107,-0.001259401,0.009807002,0.999981625
Maize,Two,100,0.1,0.9,10,0.071172499,-0.003742009,0.013623837,0.944933448
Maize,Two,100,0.1,0.9,25,0.074973693,5.92E-05,0.007726576,1
Maize,Two,100,0.1,0.9,50,0.075211578,0.000297071,0.009710342,1
Maize,Two,100,0.1,0.9,100,0.069697851,-0.005216657,0.014607178,0.751847962
Maize,Two,100,0.1,0.9,250,0.067342501,-0.007572006,0.012267514,0.349916873
Maize,Two,2,0.5,0.3,0,0.398141655,0,0,0
Maize,Two,2,0.5,0.3,1,0.062331936,-0.335809719,1.88E-09,0
Maize,Two,2,0.5,0.3,2,0.062331936,-0.335809719,0,0
Maize,Two,2,0.5,0.3,3,0.036008875,-0.362132781,0.001581227,0
Maize,Two,2,0.5,0.3,5,0.163752625,-0.23438903,0.008326199,0
Maize,Two,2,0.5,0.3,10,0.355378229,-0.042763426,0.041672015,0
Maize,Two,2,0.5,0.3,25,0.38630173,-0.011839925,0.011340999,0.002365044
Maize,Two,3,0.5,0.3,0,0.3520422,0,0,0
Maize,Two,3,0.5,0.3,1,0.058895804,-0.293146395,0.008592433,0
Maize,Two,3,0.5,0.3,2,0.060978721,-0.291063478,0.010700056,0
Maize,Two,3,0.5,0.3,3,0.060595617,-0.291446583,0.012448402,0
Maize,Two,3,0.5,0.3,5,0.078965025,-0.273077175,0.032889632,0
Maize,Two,3,0.5,0.3,10,0.221192917,-0.130849282,0.023807754,0
Maize,Two,3,0.5,0.3,25,0.316133263,-0.035908937,0.023230224,0
Maize,Two,5,0.5,0.3,0,0.387433654,0,0,0
Maize,Two,5,0.5,0.3,1,0.198849902,-0.188583752,0.008655689,0
Maize,Two,5,0.5,0.3,2,0.191694763,-0.195738892,0.0044773,0
Maize,Two,5,0.5,0.3,3,0.190153661,-0.197279993,0,0
Maize,Two,5,0.5,0.3,5,0.199064745,-0.18836891,0.016089473,0
Maize,Two,5,0.5,0.3,10,0.309585037,-0.077848617,0.025726051,0
Maize,Two,5,0.5,0.3,25,0.375541944,-0.01189171,0.011221792,7.98E-06
Maize,Two,5,0.5,0.3,50,0.382498688,-0.004934966,0.005713996,0.198845603
Maize,Two,10,0.5,0.3,0,0.344970154,0,0,0
Maize,Two,10,0.5,0.3,1,0.197630187,-0.147339967,0.001712962,0
Maize,Two,10,0.5,0.3,2,0.286205669,-0.058764485,0.006454909,0
Maize,Two,10,0.5,0.3,3,0.299048753,-0.045921401,0.013212597,0
Maize,Two,10,0.5,0.3,5,0.315550535,-0.029419618,0.018503274,0
Maize,Two,10,0.5,0.3,10,0.330019741,-0.014950412,0.011746105,1.16E-11
Maize,Two,10,0.5,0.3,25,0.337981481,-0.006988672,0.007908872,0.004636496
Maize,Two,10,0.5,0.3,50,0.337833029,-0.007137125,0.008189476,0.003734665
Maize,Two,10,0.5,0.3,100,0.336931675,-0.008038479,0.009938614,0.000634581
Maize,Two,25,0.5,0.3,0,0.439055532,0,0,0
Maize,Two,25,0.5,0.3,1,0.412942593,-0.026112939,0.00954616,0
Maize,Two,25,0.5,0.3,2,0.41721536,-0.021840172,0.010617158,0
Maize,Two,25,0.5,0.3,3,0.419762166,-0.019293366,0.011736255,0
Maize,Two,25,0.5,0.3,5,0.42414659,-0.014908942,0.011756638,1.29E-13
